Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/3/17,40,0,0,0,0,0,0,0,1,0,1,5,0,12,4,2,0,0,0,0,0,0,0,2,0,1,2,4,4,0,0,0,0,0,0,0,0 ,1,0,0,1,0,0,0,0,0,0,0
2020/3/18,45,2,0,0,0,0,0,0,1,1,4,1,2,9,1,1,0,0,1,0,0,1,0,5,1,0,2,5,5,0,0,0,0,0,0,0,0 ,0,1,0,0,0,0,0,0,2,0,0
2020/3/19,40,3,0,0,0,0,0,0,1,0,0,4,3,7,6,2,0,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,0,0,0,0 ,0,0,0,1,0,0,1,2,0,0,0
2020/3/20,49,1,0,0,0,0,0,0,0,1,0,3,5,11,2,1,0,1,0,0,0,0,0,5,0,0,1,4,8,0,0,0,0,0,1,0,0 ,0,0,0,0,0,0,0,5,0,0,0
2020/3/21,36,1,0,0,0,0,0,0,0,0,1,3,1,7,4,2,0,0,0,0,0,0,0,2,0,0,1,2,6,0,0,0,0,0,1,0,0 ,0,0,0,0,0,0,0,5,0,0,0
2020/3/22,45,3,0,0,0,0,0,0,0,0,0,6,2,3,5,0,0,0,0,0,0,2,0,2,0,0,1,6,4,1,0,0,0,1,0,1,0 ,0,0,0,0,0,0,0,8,0,0,0
2020/3/23,39,0,2,0,0,0,0,0,2,0,0,1,3,16,0,0,0,0,0,0,0,3,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0 ,0,0,0,1,0,0,0,1,0,0,1
2020/3/24,72,1,0,0,0,0,0,0,5,2,0,7,1,18,6,1,0,0,0,2,1,3,0,3,0,0,2,8,5,0,0,0,0,0,0,0,0 ,0,0,0,3,0,0,0,3,0,0,1
2020/3/25,91,4,4,0,0,0,0,0,0,4,3,1,5,41,4,1,0,0,2,0,0,1,0,6,0,0,4,7,1,0,0,0,0,0,0,1,0 ,0,0,0,0,0,1,1,0,0,0,0
2020/3/26,93,1,0,0,1,0,0,0,0,1,0,7,3,46,6,0,0,0,3,0,0,3,0,3,0,1,3,7,1,0,0,0,0,0,1,1,0 ,0,0,0,3,0,0,0,0,0,1,1
2020/3/27,116,1,0,0,0,2,0,0,3,0,0,6,8,40,11,1,0,0,3,0,1,2,0,3,0,0,1,20,3,0,0,0,0,1,0,0,0 ,0,1,1,4,0,0,2,2,0,0,0
2020/3/28,196,3,1,0,0,0,0,0,3,0,0,6,61,64,12,1,0,1,3,0,0,2,0,4,0,0,5,15,3,2,0,0,0,1,0,0,0 ,0,0,0,6,0,0,1,0,0,0,2
2020/3/29,169,4,0,0,2,0,0,0,0,1,4,5,25,72,9,0,0,0,1,0,2,1,0,3,0,0,7,17,7,0,0,0,0,0,2,0,0 ,0,0,1,4,0,0,1,1,0,0,0
2020/3/30,72,1,1,0,2,1,0,0,4,0,0,1,0,12,3,0,0,2,2,1,0,2,4,3,2,0,9,8,4,0,1,0,0,1,0,0,0 ,1,0,1,3,0,0,2,0,0,0,1
2020/3/31,246,0,0,0,1,1,1,2,4,2,0,15,22,78,14,0,2,2,5,2,0,5,1,8,0,1,13,28,11,0,0,0,0,0,0,0,2 ,0,5,2,17,1,0,0,1,0,0,0
2020/4/1,266,5,0,0,4,1,1,2,18,3,2,3,14,67,19,1,3,2,1,2,1,6,4,5,0,0,7,34,14,4,1,0,0,1,0,0,0 ,0,0,3,32,1,3,1,0,0,1,0
2020/4/2,279,3,1,0,1,2,1,2,2,0,0,15,5,98,25,0,3,1,9,0,0,5,1,7,1,1,12,33,7,4,2,0,0,2,5,0,0 ,0,3,1,23,0,2,0,1,0,1,0
2020/4/3,342,5,2,0,6,1,0,1,10,0,1,17,20,92,31,3,0,8,12,2,1,4,2,12,1,6,18,35,6,2,1,0,0,2,2,1,0 ,0,7,2,19,2,2,3,1,0,0,2
2020/4/4,370,3,0,0,2,1,5,5,5,0,4,18,26,118,21,0,2,8,4,1,1,7,1,19,0,3,10,41,15,3,0,0,0,1,2,1,0 ,0,1,3,27,1,1,0,1,4,0,5
2020/4/5,355,1,0,0,3,0,2,2,5,0,1,30,26,141,27,0,0,11,7,3,1,11,0,7,0,1,9,21,13,1,2,0,0,1,0,0,0 ,0,1,7,16,2,1,1,0,1,0,0
2020/4/6,243,0,0,0,3,0,3,0,7,2,0,16,18,85,6,0,1,2,6,4,2,1,0,11,0,1,8,20,6,1,5,0,0,0,1,5,0 ,0,2,3,14,0,0,1,1,2,0,6
2020/4/7,367,4,1,0,6,0,6,8,6,3,0,17,13,87,18,2,1,6,6,3,0,10,5,21,0,5,12,53,20,2,2,0,0,1,3,3,0 ,0,0,2,23,3,0,1,2,1,0,11
2020/4/8,516,10,0,0,2,0,3,5,0,6,3,34,34,156,64,2,2,15,7,3,5,8,5,20,0,2,10,43,19,2,3,0,0,2,5,1,0 ,1,2,1,25,0,2,1,6,1,1,5
2020/4/9,580,18,2,0,2,0,5,4,4,3,0,35,30,183,28,2,7,6,5,2,2,9,5,21,2,7,10,92,39,5,3,0,1,1,1,0,0 ,0,1,10,26,1,0,1,0,4,0,3
2020/4/10,640,13,3,0,2,2,5,3,10,1,4,53,33,199,55,0,2,20,5,3,5,11,5,14,0,1,9,80,29,3,1,1,5,0,5,1,0 ,1,2,5,39,0,1,1,1,0,0,7
2020/4/11,663,16,5,0,7,2,1,1,10,3,11,37,36,198,76,1,7,12,4,3,2,9,2,10,2,4,7,70,42,2,0,0,1,0,26,1,0 ,0,2,0,43,1,0,1,0,0,0,8
2020/4/12,519,12,0,0,6,0,5,1,8,0,35,40,44,174,31,0,0,9,2,2,1,6,2,2,0,0,12,45,17,2,1,0,1,0,6,4,0 ,4,0,6,30,0,0,2,0,1,0,8
2020/4/13,321,5,0,0,3,0,1,1,1,1,11,15,19,100,15,0,19,8,4,1,7,7,5,9,0,2,12,24,9,3,0,0,1,0,3,1,0 ,8,7,0,11,0,0,1,1,0,0,6
2020/4/14,459,18,0,0,10,1,4,0,6,2,0,22,16,159,20,3,1,10,0,1,1,8,1,10,2,11,5,59,19,3,1,0,4,1,10,0,0 ,4,2,0,33,2,0,3,2,0,0,5
2020/4/15,551,23,0,0,1,0,6,1,3,2,6,61,35,127,40,1,5,9,8,3,2,3,1,12,1,1,5,74,20,6,2,0,0,0,38,4,0 ,0,1,2,30,0,1,2,5,0,0,10
2020/4/16,583,23,0,0,10,0,5,9,4,2,10,51,58,151,55,1,10,6,3,3,6,5,0,14,6,5,10,52,31,1,1,0,2,1,5,1,0 ,2,1,0,26,0,1,0,4,0,0,8
2020/4/17,567,33,0,0,4,0,4,3,8,2,6,26,35,206,34,6,14,14,1,3,2,1,2,10,6,11,10,55,27,2,1,0,0,1,6,1,0 ,2,0,1,17,1,1,2,0,0,2,7
2020/4/18,576,38,0,0,4,0,2,8,4,0,2,37,34,186,44,3,3,13,2,2,0,1,0,17,3,2,7,88,21,4,1,2,1,0,6,0,0 ,1,3,1,24,0,0,2,0,0,1,9
2020/4/19,385,27,0,0,0,0,1,2,4,2,6,37,18,109,30,0,10,5,6,1,5,2,3,10,1,1,9,48,11,2,0,0,0,1,2,0,0 ,1,1,4,16,1,0,3,0,0,1,5
2020/4/20,325,17,0,0,1,0,3,2,4,3,2,12,22,101,16,0,4,2,1,0,0,0,0,5,3,1,8,84,11,2,0,0,0,0,5,0,0 ,2,1,1,2,0,0,1,1,0,2,6
2020/4/21,388,22,0,0,0,0,0,0,3,2,2,10,21,123,14,2,19,10,5,1,2,5,0,16,2,4,5,54,19,9,2,0,0,0,2,1,1 ,0,1,0,21,0,0,1,5,0,0,4
2020/4/22,421,22,0,0,0,0,1,1,5,1,7,39,20,123,25,3,22,9,1,1,5,3,4,19,2,12,11,31,17,2,2,0,0,0,2,0,1 ,0,0,1,21,2,0,1,0,0,0,5
2020/4/23,424,45,0,0,0,0,0,0,2,0,3,33,24,134,39,1,12,17,0,0,3,2,1,12,0,4,7,35,20,1,1,0,0,0,3,0,0 ,0,0,1,12,9,0,1,0,0,0,2
2020/4/24,394,22,0,0,0,0,1,1,4,0,4,18,18,170,32,2,7,6,1,0,3,0,1,14,2,1,4,31,25,1,2,0,0,2,0,0,0 ,0,0,0,12,8,0,1,0,0,0,1
2020/4/25,322,39,0,0,1,0,0,2,3,0,2,22,8,119,31,1,13,2,0,1,1,0,1,1,0,1,4,29,15,0,5,0,1,1,2,0,0 ,0,0,1,14,1,0,0,0,0,0,1
2020/4/26,217,14,0,0,0,0,0,1,1,2,0,19,8,82,16,4,8,5,1,0,0,0,1,1,0,0,4,16,9,0,1,0,5,0,2,0,0 ,0,0,1,11,0,0,2,0,0,0,3
2020/4/27,172,35,1,0,1,0,0,0,0,0,1,8,7,41,7,0,2,7,0,0,0,0,1,0,0,0,15,30,1,2,1,0,1,0,1,1,0 ,0,0,0,9,0,0,0,0,0,0,0
2020/4/28,279,38,3,0,2,0,1,1,1,0,5,7,8,113,10,5,2,9,1,1,0,0,5,5,0,1,4,32,7,3,1,0,0,0,5,0,0 ,0,0,0,4,1,0,0,0,0,0,4
2020/4/29,227,38,0,0,0,0,1,1,1,0,0,15,5,47,26,0,9,5,0,0,0,0,1,4,0,0,4,44,6,1,0,0,0,1,1,0,0 ,0,0,1,13,3,0,0,0,0,0,0
2020/4/30,201,41,0,0,0,0,0,2,0,0,0,12,9,59,26,0,7,1,0,0,0,0,3,1,0,0,3,28,3,0,2,0,0,0,0,0,0 ,0,0,0,3,0,0,0,0,0,0,1
2020/5/1,268,23,0,0,0,0,0,1,2,0,0,5,6,165,15,2,4,3,0,1,0,0,2,3,0,0,4,14,5,3,0,0,0,0,4,2,0 ,0,0,0,3,1,0,0,0,0,0,0
2020/5/2,298,33,0,0,0,0,0,1,0,0,0,21,6,154,36,0,4,6,0,1,4,1,0,0,0,0,5,17,4,0,0,0,1,0,1,0,0 ,0,0,0,3,0,0,0,0,0,0,0
2020/5/3,203,25,0,0,0,0,0,3,0,0,0,12,5,93,23,0,4,4,0,1,0,0,0,2,0,0,3,10,12,1,0,0,0,0,1,1,0 ,0,1,0,0,2,0,0,0,0,0,0
2020/5/4,177,31,0,0,0,0,1,0,2,0,0,5,5,87,10,0,3,3,0,0,2,0,0,3,0,2,3,13,0,0,0,0,0,0,4,1,0 ,0,0,0,1,1,0,0,0,0,0,0
2020/5/5,120,12,0,0,0,0,0,1,1,0,0,6,1,57,14,1,3,1,0,0,0,0,0,3,0,0,4,7,6,1,0,0,0,0,0,1,0 ,0,0,0,1,0,0,0,0,0,0,0
2020/5/6,103,23,0,0,0,0,0,1,0,0,0,9,2,37,7,0,1,3,0,0,1,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0 ,0,0,0,1,0,0,0,0,0,0,0
2020/5/7,94,14,1,0,0,0,0,0,0,1,1,14,5,23,13,0,0,4,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,0,0 ,0,0,0,1,0,0,0,0,0,0,0
2020/5/8,88,6,0,0,0,0,0,1,0,1,0,11,3,39,7,3,1,0,0,0,1,0,0,0,0,0,1,10,1,1,0,0,0,1,0,0,0 ,0,0,0,0,0,0,1,0,0,0,0
2020/5/9,115,11,0,0,0,0,0,0,0,0,0,16,3,36,8,0,4,2,0,0,1,0,0,3,0,0,4,16,8,1,0,0,0,0,0,0,0 ,0,0,0,2,0,0,0,0,0,0,0
2020/5/10,67,9,0,0,0,0,0,0,0,0,0,5,0,22,13,0,0,1,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0 ,0,0,0,1,0,0,0,0,0,0,0
2020/5/11,45,12,0,0,0,0,0,0,0,0,0,2,3,15,7,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0
2020/5/12,77,13,0,0,0,0,0,0,0,1,0,1,3,27,15,0,0,3,0,1,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,0,0 ,0,0,0,1,0,0,0,0,0,0,0
2020/5/13,55,4,0,0,0,0,0,0,0,0,0,4,2,10,10,0,1,1,0,0,1,0,0,1,0,0,1,12,3,0,0,0,0,0,0,0,0 ,0,3,0,1,1,0,0,0,0,0,0
2020/5/14,100,6,0,0,0,0,0,0,0,1,0,4,0,30,32,0,2,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0 ,0,17,0,1,0,0,0,0,0,0,0
2020/5/15,50,10,0,0,0,0,0,0,0,2,0,2,2,9,16,1,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0 ,0,2,0,0,0,0,0,0,0,0,0
2020/5/16,55,7,0,0,0,0,0,0,0,0,0,5,8,14,12,0,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0 ,0,0,0,0,1,0,0,0,0,0,0
2020/5/17,26,8,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,0,1,0,1,0,0,0,0,0,0,0
2020/5/18,31,1,0,0,0,0,0,0,0,1,0,3,2,10,8,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,0,2,0,0,0,0,0,0,0,0,0
2020/5/19,26,3,0,0,0,0,0,0,0,1,0,0,0,5,8,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0 ,0,1,0,0,0,0,0,0,0,0,0
2020/5/20,37,2,0,0,0,0,0,0,0,2,1,5,1,5,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0 ,0,0,0,0,0,0,0,0,0,0,0
2020/5/21,40,5,0,0,0,0,0,0,0,0,0,1,3,11,13,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0 ,0,1,0,0,0,0,0,0,0,0,0
2020/5/22,24,6,0,0,0,0,0,0,0,0,0,1,0,3,7,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0 ,0,3,0,0,0,0,0,0,0,0,0
